model_id,name,division,profile_url,height_cm,hair_color,eye_color,images,thumbnail
10024,Rose Lawrence,mai,https://apmmodels.com/w/models/mai/mai-10024-rose-lawrence,178,black,brown,"['images/rose_lawrence/thumbnail.jpg', 'images/rose_lawrence/portfolio1.jpg', 'images/rose_lawrence/portfolio2.jpg', 'images/rose_lawrence/portfolio3.jpg', 'images/rose_lawrence/portfolio4.jpg', 'images/rose_lawrence/portfolio5.jpg', 'images/rose_lawrence/portfolio6.jpg', 'images/rose_lawrence/portfolio7.jpg', 'images/rose_lawrence/portfolio8.jpg', 'images/rose_lawrence/portfolio9.jpg', 'images/rose_lawrence/portfolio10.jpg', 'images/rose_lawrence/portfolio11.jpg', 'images/rose_lawrence/portfolio12.jpg', 'images/rose_lawrence/portfolio13.jpg', 'images/rose_lawrence/portfolio14.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/b22074d6-63d7-4de6-a5f1-0c8708d9df55__2e47c605-237f-440a-bdf7-4be2bf642194.jpg
10437,Joanna  Cardenas,mai,https://apmmodels.com/w/models/mai/mai-10437-joanna-cardenas,173,brown,brown,"['images/joanna_cardenas/thumbnail.jpg', 'images/joanna_cardenas/portfolio1.jpg', 'images/joanna_cardenas/portfolio2.jpg', 'images/joanna_cardenas/portfolio3.jpg', 'images/joanna_cardenas/portfolio4.jpg', 'images/joanna_cardenas/portfolio5.jpg', 'images/joanna_cardenas/portfolio6.jpg', 'images/joanna_cardenas/portfolio7.jpg', 'images/joanna_cardenas/portfolio8.jpg', 'images/joanna_cardenas/portfolio9.jpg', 'images/joanna_cardenas/portfolio10.jpg', 'images/joanna_cardenas/portfolio11.jpg', 'images/joanna_cardenas/portfolio12.jpg', 'images/joanna_cardenas/portfolio13.jpg', 'images/joanna_cardenas/portfolio14.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/9eb071c6-e17d-4649-966b-24b4732d2f7e_Standard.jpg
9683,Britney Watkins,mai,https://apmmodels.com/w/models/mai/mai-9683-britney-watkins,175,brown,brown,"['images/britney_watkins/thumbnail.jpg', 'images/britney_watkins/portfolio1.jpg', 'images/britney_watkins/portfolio2.jpg', 'images/britney_watkins/portfolio3.jpg', 'images/britney_watkins/portfolio4.jpg', 'images/britney_watkins/portfolio5.jpg', 'images/britney_watkins/portfolio6.jpg', 'images/britney_watkins/portfolio7.jpg', 'images/britney_watkins/portfolio8.jpg', 'images/britney_watkins/portfolio9.jpg', 'images/britney_watkins/portfolio10.jpg', 'images/britney_watkins/portfolio11.jpg', 'images/britney_watkins/portfolio12.jpg', 'images/britney_watkins/portfolio13.jpg', 'images/britney_watkins/portfolio14.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/33e67522-0a19-42e4-9728-bdb9fbeae1f7_Standard.jpg
10265,Sky  Mejias,mai,https://apmmodels.com/w/models/mai/mai-10265-sky-mejias,173,brown,hazel,"['images/sky_mejias/thumbnail.jpg', 'images/sky_mejias/portfolio1.jpg', 'images/sky_mejias/portfolio2.jpg', 'images/sky_mejias/portfolio3.jpg', 'images/sky_mejias/portfolio4.jpg', 'images/sky_mejias/portfolio5.jpg', 'images/sky_mejias/portfolio6.jpg', 'images/sky_mejias/portfolio7.jpg', 'images/sky_mejias/portfolio8.jpg', 'images/sky_mejias/portfolio9.jpg', 'images/sky_mejias/portfolio10.jpg', 'images/sky_mejias/portfolio11.jpg', 'images/sky_mejias/portfolio12.jpg', 'images/sky_mejias/portfolio13.jpg', 'images/sky_mejias/portfolio14.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/4530f95a-7201-43ca-b7d1-e9f8ee5f432c_Standard.jpg
10076,Shanika Adeola,mai,https://apmmodels.com/w/models/mai/mai-10076-shanika-adeola,180,dark brown,brown,"['images/shanika_adeola/thumbnail.jpg', 'images/shanika_adeola/portfolio1.jpg', 'images/shanika_adeola/portfolio2.jpg', 'images/shanika_adeola/portfolio3.jpg', 'images/shanika_adeola/portfolio4.jpg', 'images/shanika_adeola/portfolio5.jpg', 'images/shanika_adeola/portfolio6.jpg', 'images/shanika_adeola/portfolio7.jpg', 'images/shanika_adeola/portfolio8.jpg', 'images/shanika_adeola/portfolio9.jpg', 'images/shanika_adeola/portfolio10.jpg', 'images/shanika_adeola/portfolio11.jpg', 'images/shanika_adeola/portfolio12.jpg', 'images/shanika_adeola/portfolio13.jpg', 'images/shanika_adeola/portfolio14.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/402_70de753b-ae9a-4027-af28-0e4e7251ba73.jpg
10291,Izzy  Gonzales,mai,https://apmmodels.com/w/models/mai/mai-10291-izzy-gonzales,179,blonde,brown,"['images/izzy_gonzales/thumbnail.jpg', 'images/izzy_gonzales/portfolio1.jpg', 'images/izzy_gonzales/portfolio2.jpg', 'images/izzy_gonzales/portfolio3.jpg', 'images/izzy_gonzales/portfolio4.jpg', 'images/izzy_gonzales/portfolio5.jpg', 'images/izzy_gonzales/portfolio6.jpg', 'images/izzy_gonzales/portfolio7.jpg', 'images/izzy_gonzales/portfolio8.jpg', 'images/izzy_gonzales/portfolio9.jpg', 'images/izzy_gonzales/portfolio10.jpg', 'images/izzy_gonzales/portfolio11.jpg', 'images/izzy_gonzales/portfolio12.jpg', 'images/izzy_gonzales/portfolio13.jpg', 'images/izzy_gonzales/portfolio14.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/7c49c17f-a92b-416d-b49b-4ca150430d98__fa48c5f6-6bbf-48cc-9d7f-e537ed30f803.jpg
9976,Alexis Morgan,dev,https://apmmodels.com/w/models/dev/dev-9976-alexis-morgan,174,brown,brown,"['images/alexis_morgan/thumbnail.jpg', 'images/alexis_morgan/portfolio1.jpg', 'images/alexis_morgan/portfolio2.jpg', 'images/alexis_morgan/portfolio3.jpg', 'images/alexis_morgan/portfolio4.jpg', 'images/alexis_morgan/portfolio5.jpg', 'images/alexis_morgan/portfolio6.jpg', 'images/alexis_morgan/portfolio7.jpg', 'images/alexis_morgan/portfolio8.jpg', 'images/alexis_morgan/portfolio9.jpg', 'images/alexis_morgan/portfolio10.jpg', 'images/alexis_morgan/portfolio11.jpg', 'images/alexis_morgan/portfolio12.jpg', 'images/alexis_morgan/portfolio13.jpg', 'images/alexis_morgan/portfolio14.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/24f7620a-5d43-4d0f-9734-90f4c0aaed0c_Standard.jpg
10034,Isis Marine,mai,https://apmmodels.com/w/models/mai/mai-10034-isis-marine,180,brown,brown,"['images/isis_marine/thumbnail.jpg', 'images/isis_marine/portfolio1.jpg', 'images/isis_marine/portfolio2.jpg', 'images/isis_marine/portfolio3.jpg', 'images/isis_marine/portfolio4.jpg', 'images/isis_marine/portfolio5.jpg', 'images/isis_marine/portfolio6.jpg', 'images/isis_marine/portfolio7.jpg', 'images/isis_marine/portfolio8.jpg', 'images/isis_marine/portfolio9.jpg', 'images/isis_marine/portfolio10.jpg', 'images/isis_marine/portfolio11.jpg', 'images/isis_marine/portfolio12.jpg', 'images/isis_marine/portfolio13.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/360_a3bc75a3-06b9-4d4a-84c1-0e02747d22e6.jpg
10749,SELINA NIU,dev,https://apmmodels.com/w/models/dev/dev-10749-selina-niu,173,black,brown,"['images/selina_niu/thumbnail.jpg', 'images/selina_niu/portfolio1.jpg', 'images/selina_niu/portfolio2.jpg', 'images/selina_niu/portfolio3.jpg', 'images/selina_niu/portfolio4.jpg', 'images/selina_niu/portfolio5.jpg', 'images/selina_niu/portfolio6.jpg', 'images/selina_niu/portfolio7.jpg', 'images/selina_niu/portfolio8.jpg', 'images/selina_niu/portfolio9.jpg', 'images/selina_niu/portfolio10.jpg', 'images/selina_niu/portfolio11.jpg', 'images/selina_niu/portfolio12.jpg', 'images/selina_niu/portfolio13.jpg', 'images/selina_niu/portfolio14.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/05effb17-0e0f-45b5-ab9a-279464622146_Standard.jpg
10137,Mnatalla Eldaas,mai,https://apmmodels.com/w/models/mai/mai-10137-mnatalla-eldaas,178,dark brown,brown,"['images/mnatalla_eldaas/thumbnail.jpg', 'images/mnatalla_eldaas/portfolio1.jpg', 'images/mnatalla_eldaas/portfolio2.jpg', 'images/mnatalla_eldaas/portfolio3.jpg', 'images/mnatalla_eldaas/portfolio4.jpg', 'images/mnatalla_eldaas/portfolio5.jpg', 'images/mnatalla_eldaas/portfolio6.jpg', 'images/mnatalla_eldaas/portfolio7.jpg', 'images/mnatalla_eldaas/portfolio8.jpg', 'images/mnatalla_eldaas/portfolio9.jpg', 'images/mnatalla_eldaas/portfolio10.jpg', 'images/mnatalla_eldaas/portfolio11.jpg', 'images/mnatalla_eldaas/portfolio12.jpg', 'images/mnatalla_eldaas/portfolio13.jpg', 'images/mnatalla_eldaas/portfolio14.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/3bf54282-e930-46ec-95c3-dc18d597687e_Standard.jpg
10695,Isabel  Cameron,dev,https://apmmodels.com/w/models/dev/dev-10695-isabel-cameron,181,,,"['images/isabel_cameron/thumbnail.jpg', 'images/isabel_cameron/portfolio1.jpg', 'images/isabel_cameron/portfolio2.jpg', 'images/isabel_cameron/portfolio3.jpg', 'images/isabel_cameron/portfolio4.jpg', 'images/isabel_cameron/portfolio5.jpg', 'images/isabel_cameron/portfolio6.jpg', 'images/isabel_cameron/portfolio7.jpg', 'images/isabel_cameron/portfolio8.jpg', 'images/isabel_cameron/portfolio9.jpg', 'images/isabel_cameron/portfolio10.jpg', 'images/isabel_cameron/portfolio11.jpg', 'images/isabel_cameron/portfolio12.jpg', 'images/isabel_cameron/portfolio13.jpg', 'images/isabel_cameron/portfolio14.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/172be472-4b79-4088-be90-6e76294996db_Standard.jpg
10129,Jade O'Belle,mai,https://apmmodels.com/w/models/mai/mai-10129-jade-o,178,dark brown,brown,"['images/jade_obelle/thumbnail.jpg', 'images/jade_obelle/portfolio1.jpg', 'images/jade_obelle/portfolio2.jpg', 'images/jade_obelle/portfolio3.jpg', 'images/jade_obelle/portfolio4.jpg', 'images/jade_obelle/portfolio5.jpg', 'images/jade_obelle/portfolio6.jpg', 'images/jade_obelle/portfolio7.jpg', 'images/jade_obelle/portfolio8.jpg', 'images/jade_obelle/portfolio9.jpg', 'images/jade_obelle/portfolio10.jpg', 'images/jade_obelle/portfolio11.jpg', 'images/jade_obelle/portfolio12.jpg', 'images/jade_obelle/portfolio13.jpg', 'images/jade_obelle/portfolio14.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/455_23a3f6d5-57cc-48e3-8cc1-c9bd40d81e72.jpg
10207,Kristy  Baez,ima,https://apmmodels.com/w/models/ima/ima-10207-kristy-baez,175,dark brown,hazel,"['images/kristy_baez/thumbnail.jpg', 'images/kristy_baez/portfolio1.jpg', 'images/kristy_baez/portfolio2.jpg', 'images/kristy_baez/portfolio3.jpg', 'images/kristy_baez/portfolio4.jpg', 'images/kristy_baez/portfolio5.jpg', 'images/kristy_baez/portfolio6.jpg', 'images/kristy_baez/portfolio7.jpg', 'images/kristy_baez/portfolio8.jpg', 'images/kristy_baez/portfolio9.jpg', 'images/kristy_baez/portfolio10.jpg', 'images/kristy_baez/portfolio11.jpg', 'images/kristy_baez/portfolio12.jpg', 'images/kristy_baez/portfolio13.jpg', 'images/kristy_baez/portfolio14.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/7137618d-d240-46a0-b923-2bce621c2d72_Standard.jpg
9714,Michelene Auguste,mai,https://apmmodels.com/w/models/mai/mai-9714-michelene-auguste,180,dark brown,brown,"['images/michelene_auguste/thumbnail.jpg', 'images/michelene_auguste/portfolio1.jpg', 'images/michelene_auguste/portfolio2.jpg', 'images/michelene_auguste/portfolio3.jpg', 'images/michelene_auguste/portfolio4.jpg', 'images/michelene_auguste/portfolio5.jpg', 'images/michelene_auguste/portfolio6.jpg', 'images/michelene_auguste/portfolio7.jpg', 'images/michelene_auguste/portfolio8.jpg', 'images/michelene_auguste/portfolio9.jpg', 'images/michelene_auguste/portfolio10.jpg', 'images/michelene_auguste/portfolio11.jpg', 'images/michelene_auguste/portfolio12.jpg', 'images/michelene_auguste/portfolio13.jpg', 'images/michelene_auguste/portfolio14.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/2fe2e94e-071b-4899-9c2b-a2ca6fd1546e_Standard.jpg
10318,Elisa Pena,ima,https://apmmodels.com/w/models/ima/ima-10318-elisa-pena,180,black,brown,"['images/elisa_pena/thumbnail.jpg', 'images/elisa_pena/portfolio1.jpg', 'images/elisa_pena/portfolio2.jpg', 'images/elisa_pena/portfolio3.jpg', 'images/elisa_pena/portfolio4.jpg', 'images/elisa_pena/portfolio5.jpg', 'images/elisa_pena/portfolio6.jpg', 'images/elisa_pena/portfolio7.jpg', 'images/elisa_pena/portfolio8.jpg', 'images/elisa_pena/portfolio9.jpg', 'images/elisa_pena/portfolio10.jpg', 'images/elisa_pena/portfolio11.jpg', 'images/elisa_pena/portfolio12.jpg', 'images/elisa_pena/portfolio13.jpg', 'images/elisa_pena/portfolio14.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/7186a550-12d7-4d74-bf35-09a6f2e76f81_Standard.jpg
10100,Hailey Rae Simon,dev,https://apmmodels.com/w/models/dev/dev-10100-hailey_rae-simon,175,blonde,blue,"['images/hailey_rae_simon/thumbnail.jpg', 'images/hailey_rae_simon/portfolio1.jpg', 'images/hailey_rae_simon/portfolio2.jpg', 'images/hailey_rae_simon/portfolio3.jpg', 'images/hailey_rae_simon/portfolio4.jpg', 'images/hailey_rae_simon/portfolio5.jpg', 'images/hailey_rae_simon/portfolio6.jpg', 'images/hailey_rae_simon/portfolio7.jpg', 'images/hailey_rae_simon/portfolio8.jpg', 'images/hailey_rae_simon/portfolio9.jpg', 'images/hailey_rae_simon/portfolio10.jpg', 'images/hailey_rae_simon/portfolio11.jpg', 'images/hailey_rae_simon/portfolio12.jpg', 'images/hailey_rae_simon/portfolio13.jpg', 'images/hailey_rae_simon/portfolio14.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/eb234e2e-c601-4b24-803c-7fd7e2a59361_Standard.jpg
10393,Samantha  Castillo,mai,https://apmmodels.com/w/models/mai/mai-10393-samantha-castillo,175,brown,brown,"['images/samantha_castillo/thumbnail.jpg', 'images/samantha_castillo/portfolio1.jpg', 'images/samantha_castillo/portfolio2.jpg', 'images/samantha_castillo/portfolio3.jpg', 'images/samantha_castillo/portfolio4.jpg', 'images/samantha_castillo/portfolio5.jpg', 'images/samantha_castillo/portfolio6.jpg', 'images/samantha_castillo/portfolio7.jpg', 'images/samantha_castillo/portfolio8.jpg', 'images/samantha_castillo/portfolio9.jpg', 'images/samantha_castillo/portfolio10.jpg', 'images/samantha_castillo/portfolio11.jpg', 'images/samantha_castillo/portfolio12.jpg', 'images/samantha_castillo/portfolio13.jpg', 'images/samantha_castillo/portfolio14.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/05c12a59-4e7c-4930-9a50-17c5e422f87d__ffff2f44-92e9-4cfe-b558-e07d4e579001.jpg
10678,Elena Chenguayen,mai,https://apmmodels.com/w/models/mai/mai-10678-elena-chenguayen,175,black,brown,"['images/elena_chenguayen/thumbnail.jpg', 'images/elena_chenguayen/portfolio1.jpg', 'images/elena_chenguayen/portfolio2.jpg', 'images/elena_chenguayen/portfolio3.jpg', 'images/elena_chenguayen/portfolio4.jpg', 'images/elena_chenguayen/portfolio5.jpg', 'images/elena_chenguayen/portfolio6.jpg', 'images/elena_chenguayen/portfolio7.jpg', 'images/elena_chenguayen/portfolio8.jpg', 'images/elena_chenguayen/portfolio9.jpg', 'images/elena_chenguayen/portfolio10.jpg', 'images/elena_chenguayen/portfolio11.jpg', 'images/elena_chenguayen/portfolio12.jpg', 'images/elena_chenguayen/portfolio13.jpg', 'images/elena_chenguayen/portfolio14.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/da93f70e-7977-4537-a175-de63fca1f009_Standard.jpg
9696,Gabrielle Covers,mai,https://apmmodels.com/w/models/mai/mai-9696-gabrielle-covers,178,dark blonde,blue,"['images/gabrielle_covers/thumbnail.jpg', 'images/gabrielle_covers/portfolio1.jpg', 'images/gabrielle_covers/portfolio2.jpg', 'images/gabrielle_covers/portfolio3.jpg', 'images/gabrielle_covers/portfolio4.jpg', 'images/gabrielle_covers/portfolio5.jpg', 'images/gabrielle_covers/portfolio6.jpg', 'images/gabrielle_covers/portfolio7.jpg', 'images/gabrielle_covers/portfolio8.jpg', 'images/gabrielle_covers/portfolio9.jpg', 'images/gabrielle_covers/portfolio10.jpg', 'images/gabrielle_covers/portfolio11.jpg', 'images/gabrielle_covers/portfolio12.jpg', 'images/gabrielle_covers/portfolio13.jpg', 'images/gabrielle_covers/portfolio14.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/72fd45ce-8460-414f-b30d-28163f92e138_Standard.jpg
